id	qid	testSet	module	count	accuracy
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbj3-l1.qa195	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbj7-l1.qa187	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	2	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbj8-l1.qa230	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	8	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbj9-l1.qa191	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbj10-l1.qa212	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	incorrect
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbj10-l1.qa213	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	incorrect
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbj10-l1.qa214	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	incorrect
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbj11-l1.qa215	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	2	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbj12-l1.qa185	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	9	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbj13-l1.qa224	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbj14-l1.qa211	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbj15-l1.qa235	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbj18-l1.qa184	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbj19-l1.qa247	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbj23-l1.qa188	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	12	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbj24-l1.qa225	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	2	incorrect
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbj28-l1.qa206	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	incorrect
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbj28-l1.qa207	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbj29-l1.qa204	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbj31-l1.qa204	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbj33-l1.qa200	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbj35-l1.qa211	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	correct
