@relation accuracy-weka.filters.unsupervised.attribute.Remove-R1

@attribute overlap numeric
@attribute F numeric
@attribute lesk numeric
@attribute cosine numeric
@attribute questionOverlap numeric
@attribute questionF numeric
@attribute questionLesk numeric
@attribute questionCosine numeric
@attribute word_matching numeric
@attribute neg_word_match numeric
@attribute num_match numeric
@attribute synonym_match numeric
@attribute antonym_match numeric
@attribute wup_similarity numeric
@attribute accuracy {correct,incorrect}

@data
8,0.727273,0.138889,0.730297,6,0.413793,0.04902,0.420084,0.5,0,1,3,0,6.066667,correct
2,0.307692,0.055556,0.333333,2,0.190476,0.029412,0.242536,0.25,0,-1,1,0,3.888889,incorrect
3,0.461538,0.25,0.5,3,0.285714,0.073529,0.363803,0.333333,0,1,1,0,3,incorrect
0,0,0,0,0,0,0,0,0,-1,0,0,0,1.528281,incorrect
7,0.736842,0.166667,0.737865,4,0.307692,0.039216,0.323381,0.416667,0,0,3,0,4,correct
8,0.695652,0.136364,0.696311,6,0.413793,0.068627,0.420084,0.416667,0,1,3,0,5.066667,correct
4,0.5,0.253968,0.503953,1,0.083333,0.008403,0.09167,0.166667,0,0,1,-1,1.516667,incorrect
4,0.444444,0.123457,0.444444,1,0.076923,0.006536,0.080845,0.166667,-1,0,1,0,2,correct
0,0,0,0,0,0,0,0,0,-1,0,0,0,0.557692,incorrect
7,0.666667,0.1,0.667424,5,0.357143,0.037433,0.365636,0.416667,0,1,2,0,6.066667,correct
8,0.842105,0.244444,0.843274,5,0.37037,0.052941,0.383482,0.5,-1,1,1,0,5,correct
7,0.56,0.125,0.564076,7,0.451613,0.046218,0.453743,0.583333,0,1,3,0,7.15264,correct
7,0.777778,0.234568,0.777778,5,0.384615,0.084967,0.404226,0.416667,-1,1,2,0,4,correct
7,0.636364,0.131313,0.636364,6,0.428571,0.074866,0.438763,0.416667,0,1,3,0,5.066667,correct
8,0.727273,0.138889,0.730297,6,0.413793,0.04902,0.420084,0.5,0,1,3,0,6.511111,correct
7,0.736842,0.145299,0.737865,4,0.32,0.041667,0.333333,0.461538,0,-1,3,0,5,correct
7,0.736842,0.211111,0.737865,5,0.4,0.090278,0.416667,0.461538,0,1,2,0,4,correct
1,0.133333,0.02,0.141421,0,0,0,0,0,-1,0,0,0,1.944708,incorrect
11,0.916667,0.3125,0.916667,6,0.428571,0.052083,0.433013,0.538462,0,1,3,0,6.066667,incorrect
11,1,1,1,6,0.444444,0.204545,0.452267,0.538462,-1,1,3,0,5.132051,correct
7,0.736842,0.166667,0.737865,5,0.4,0.048611,0.416667,0.461538,0,0,3,0,4.8,correct
3,0.5,0.15625,0.53033,1,0.1,0.015625,0.125,0.230769,0,0,1,0,2,correct
10,0.833333,0.222222,0.833333,6,0.428571,0.072917,0.433013,0.461538,-1,1,3,0,5.066667,correct
7,0.7,0.153846,0.7,5,0.384615,0.05625,0.395285,0.538462,-1,1,3,0,5,correct
0,0,0,0,0,0,0,0,0,0,0,0,0,0.737255,incorrect
10,0.8,0.217949,0.800641,6,0.413793,0.048077,0.416025,0.538462,-1,1,3,0,6.955556,correct
3,0.5,0.15625,0.53033,1,0.1,0.015625,0.125,0.230769,0,-1,1,0,1.875,correct
6,0.555556,0.180556,0.589256,5,0.37037,0.138889,0.372678,0.5,0,2,1,0,6.501961,correct
3,0.272727,0.033333,0.273861,1,0.08,0.006667,0.08165,0.2,0,0,1,0,2.501961,incorrect
3,0.545455,0.166667,0.547723,1,0.1,0.013333,0.11547,0,0,0,0,0,1.682051,incorrect
5,0.5,0.121212,0.502519,3,0.230769,0.018182,0.23355,0.2,0,0,0,0,3.387934,incorrect
3,0.4,0.055556,0.408248,4,0.333333,0.059259,0.344265,0.2,0,2,0,0,4,correct
2,0.363636,0.066667,0.365148,2,0.2,0.053333,0.23094,0.1,0,1,0,0,2,correct
7,0.736842,0.166667,0.737865,5,0.4,0.166667,0.408248,0.3,-1,2,0,0,6.02094,correct
4,0.545455,0.166667,0.547723,0,0,0,0,0.3,0,0,1,0,2,correct
6,0.625,0.416667,0.645497,4,0.32,0.066667,0.326599,0.5,0,2,1,0,4.501961,incorrect
3,0.272727,0.041667,0.273861,2,0.148148,0.011111,0.149071,0.3,0,0,2,0,3.768627,incorrect
3,0.5,0.138889,0.5,0,0,0,0,0,-1,0,0,0,2.354274,incorrect
6,0.526316,0.320513,0.566139,6,0.428571,0.061538,0.429669,0.5,0,2,1,0,5.235294,correct
