@relation accuracy-weka.filters.unsupervised.attribute.Remove-R1

@attribute overlap numeric
@attribute F numeric
@attribute lesk numeric
@attribute cosine numeric
@attribute questionOverlap numeric
@attribute questionF numeric
@attribute questionLesk numeric
@attribute questionCosine numeric
@attribute word_matching numeric
@attribute neg_word_match numeric
@attribute num_match numeric
@attribute synonym_match numeric
@attribute antonym_match numeric
@attribute wup_similarity numeric
@attribute accuracy {correct,partially_correct_incomplete,contradictory,irrelevant,non_domain}

@data
7,0.666667,0.1,0.667424,5,0.357143,0.037433,0.365636,0.416667,0,1,0,0,0.551515,correct
7,0.777778,0.234568,0.777778,5,0.384615,0.084967,0.404226,0.416667,-1,1,0,0,0.444444,correct
7,0.636364,0.138889,0.63901,6,0.413793,0.04902,0.420084,0.5,0,1,0,0,0.505556,correct
8,0.842105,0.166667,0.843274,5,0.37037,0.052941,0.383482,0.5,-1,1,0,0,0.454545,correct
7,0.777778,0.333333,0.777778,5,0.384615,0.111111,0.404226,0.5,0,-1,0,0,0.555556,contradictory
6,0.521739,0.157407,0.522233,5,0.344828,0.083333,0.35007,0.416667,-1,-1,0,0,0.427671,contradictory
1,0.142857,0.022222,0.149071,0,0,0,0,0,-1,0,0,0,0.22641,contradictory
8,0.842105,0.244444,0.843274,5,0.37037,0.052941,0.383482,0.5,-1,1,0,0,0.454545,correct
8,0.727273,0.138889,0.730297,6,0.413793,0.04902,0.420084,0.5,0,1,0,0,0.505556,correct
7,0.56,0.125,0.564076,7,0.451613,0.046218,0.453743,0.583333,0,1,0,0,0.476843,correct
7,0.583333,0.134615,0.585369,7,0.466667,0.049774,0.470871,0.583333,0,1,0,0,0.540781,correct
7,0.608696,0.083333,0.609272,6,0.413793,0.04902,0.420084,0.416667,0,1,0,0,0.45731,correct
7,0.777778,0.234568,0.777778,5,0.384615,0.084967,0.404226,0.416667,-1,1,0,0,0.4,correct
8,0.727273,0.1,0.730297,5,0.344828,0.034314,0.35007,0.416667,0,1,0,0,0.422222,correct
8,0.727273,0.138889,0.730297,6,0.413793,0.04902,0.420084,0.5,0,1,0,0,0.466667,correct
1,0.111111,0.012346,0.111111,2,0.153846,0.013072,0.16169,0.083333,0,-1,0,0,0.348113,non_domain
1,0.153846,0.027778,0.166667,0,0,0,0,0,0,0,0,0,0.35098,partially_correct_incomplete
7,0.608696,0.340278,0.609272,7,0.482759,0.132353,0.490098,0.583333,0,1,0,0,0.556838,correct
9,0.947368,0.211111,0.948683,6,0.444444,0.058824,0.460179,0.666667,-1,1,0,0,0.6,correct
9,0.580645,0.277778,0.60678,7,0.378378,0.044118,0.379628,0.5,0,2,0,-1,0.416667,correct
7,0.636364,0.131313,0.636364,6,0.428571,0.074866,0.438763,0.416667,0,1,0,0,0.460606,correct
7,0.736842,0.166667,0.737865,4,0.296296,0.035294,0.306786,0.416667,-1,0,0,0,0.363636,correct
8,0.842105,0.244444,0.843274,5,0.37037,0.052941,0.383482,0.5,-1,1,0,0,0.5,correct
7,0.777778,0.209877,0.777778,5,0.384615,0.084967,0.404226,0.416667,-1,1,0,0,0.444444,correct
6,0.6,0.363636,0.603023,7,0.5,0.197861,0.511891,0.5,0,1,0,0,0.503914,correct
7,0.736842,0.166667,0.737865,5,0.37037,0.041176,0.383482,0.416667,-1,0,0,0,0.436364,correct
9,0.818182,0.151515,0.818182,7,0.5,0.080214,0.511891,0.583333,0,1,0,0,0.551515,correct
7,0.666667,0.166667,0.667424,5,0.37037,0.052941,0.383482,0.5,0,1,0,0,0.58549,correct
8,0.695652,0.106061,0.696311,6,0.413793,0.04902,0.420084,0.416667,0,1,0,0,0.45731,correct
8,0.695652,0.136364,0.696311,6,0.413793,0.068627,0.420084,0.416667,0,1,0,0,0.422222,correct
7,0.666667,0.107438,0.667424,5,0.357143,0.048128,0.365636,0.5,0,1,0,0,0.422222,correct
5,0.5,0.090909,0.502519,3,0.230769,0.03268,0.242536,0.25,0,1,0,0,0.467284,contradictory
1,0.117647,0.013889,0.117851,3,0.24,0.022059,0.257248,0.083333,0,-2,0,0,0.544712,correct
5,0.47619,0.075758,0.476731,4,0.285714,0.032086,0.292509,0.416667,0,-1,0,0,0.411806,irrelevant
2,0.266667,0.045455,0.301511,1,0.095238,0.014706,0.121268,0,0,0,0,0,0.266667,partially_correct_incomplete
0,0,0,0,0,0,0,0,0,0,-1,0,0,0.706481,contradictory
7,0.666667,0.107438,0.667424,5,0.357143,0.048128,0.365636,0.5,0,1,0,0,0.460606,correct
6,0.6,0.10101,0.603023,4,0.307692,0.039216,0.323381,0.5,0,1,0,0,0.674074,partially_correct_incomplete
7,0.636364,0.131313,0.636364,6,0.428571,0.074866,0.438763,0.416667,0,1,0,0,0.460606,correct
7,0.636364,0.138889,0.63901,6,0.413793,0.04902,0.420084,0.5,0,1,0,0,0.466667,correct
0,0,0,0,0,0,0,0,0,0,0,0,0,0,non_domain
0,0,0,0,0,0,0,0,0,0,0,0,0,0.153846,non_domain
0,0,0,0,0,0,0,0,0,0,0,0,0,0.054422,contradictory
8,0.842105,0.185185,0.843274,5,0.384615,0.058824,0.404226,0.5,0,1,0,0,0.5,correct
7,0.608696,0.340278,0.609272,7,0.482759,0.132353,0.490098,0.583333,0,1,0,0,0.552465,correct
7,0.636364,0.138889,0.63901,6,0.413793,0.04902,0.420084,0.5,0,1,0,0,0.505556,correct
7,0.636364,0.138889,0.63901,6,0.413793,0.04902,0.420084,0.5,0,1,0,0,0.466667,correct
3,0.4,0.113636,0.452267,1,0.095238,0.014706,0.121268,0,0,0,0,0,0.266667,partially_correct_incomplete
8,0.727273,0.1,0.730297,5,0.344828,0.034314,0.35007,0.416667,0,1,0,0,0.389744,correct
7,0.636364,0.138889,0.63901,6,0.413793,0.04902,0.420084,0.5,-1,1,0,0,0.466667,contradictory
2,0.25,0.031746,0.251976,5,0.16129,0.028571,0.254824,0.222222,0,0,0,0,0.204082,correct
3,0.352941,0.057692,0.416025,2,0.067797,0.009091,0.13484,0.222222,0,0,0,0,0.357143,correct
0,0,0,0,0,0,0,0,0,0,0,0,0,0.6875,contradictory
2,0.181818,0.017094,0.1849,2,0.0625,0.00404,0.089893,0.111111,0,0,0,0,0.364016,contradictory
