id	qid	testSet	module	count	accuracy
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj3-l1.qa193	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj7-l1.qa185	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	3	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj8-l1.qa223	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj8-l1.qa224	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj8-l1.qa225	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj8-l1.qa226	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	non_domain
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj8-l1.qa227	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	non_domain
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj8-l1.qa228	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj9-l1.qa189	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj10-l1.qa207	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj10-l1.qa208	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj10-l1.qa209	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj10-l1.qa210	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj11-l1.qa213	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj13-l1.qa220	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj13-l1.qa221	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj13-l1.qa222	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj14-l1.qa209	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj15-l1.qa231	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj15-l1.qa232	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	partially_correct_incomplete
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj15-l1.qa233	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	partially_correct_incomplete
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj18-l1.qa182	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj19-l1.qa240	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
